WEIGHT(N),HEIGHT(mm),HEAD CIRCUMFERENCE(mm),SHOULDER BREADTH(mm),HAND LENGTH(mm),CHEST CIRCUMFERENCE(mm),WAIST CIRCUMFERENCE(mm),SLEEVE LENGTH(mm),AGE (months)
375,1444,512,341,145,719,623,406.5,158
343,1454,553,356,161,702,576,388,158
401,1474,547,356,161,720,623,398,158
401,1496,545,342,169,715,653,408,158
367,1508,546,341,166,702,608,417.5,158
461,1521,542,366,159,751,762,418.5,158
411,1532,552,360,164,742,625,422,158
428,1554,532,356,169,766,627,430,158
439,1604,521,353,170,711,630,455.5,158
511,1607,556,412,173,810,707,424.5,158
455,1631,578,374,186,771,657,442.5,158
585,1645,539,384,177,795,806,453.5,158
564,1691,546,411,190,835,699,450,158
359,1404,545,322,152,664,623,389,159
313,1428,565,342,161,695,555,382,159
437,1440,544,360,162,735,630,378,159
346,1447,554,344,158,698,600,393.5,159
357,1461,522,353,160,715,605,394,159
440,1466,545,365,166,784,696,384.5,159
467,1511,527,373,167,780,658,402,159
425,1535,535,374,178,740,695,402.5,159
544,1549,539,371,169,778,671,420,159
506,1553,565,364,171,815,721,423.5,159
403,1556,543,368,172,695,676,422,159
673,1730,583,450,179,872,719,461,159
465,1512,524,373,167,766,740,402.5,160
446,1526,552,362,166,817,636,416,160
472,1542,562,378,170,789,664,412,160
434,1543,526,355,176,743,654,418,160
486,1546,567,371,178,800,757,409.5,160
403,1563,542,340,173,693,591,438.5,160
582,1581,558,423,177,847,771,402,160
521,1585,552,398,181,823,727,412.5,160
418,1590,546,361,175,758,634,439.5,160
561,1621,573,408,186,851,726,420.5,160
526,1642,574,391,172,801,722,453.5,160
490,1647,519,391,184,795,721,444,160
858,1675,553,447,181,988,983,433,160
562,1705,551,407,184,853,746,465,160
372,1429,538,342,151,692,635,392.5,161
400,1460,549,365,157,773,589,390.5,161
367,1530,535,348,161,691,604,430,161
444,1544,532,353,167,726,668,428.5,161
476,1545,554,361,180,787,656,412,161
406,1548,534,348,168,688,620,432,161
400,1550,513,362,167,735,631,427,161
421,1553,548,343,161,722,636,444,161
512,1592,556,416,174,853,702,414,161
694,1646,549,423,184,930,853,427.5,161
658,1692,554,423,185,871,764,449.5,161
744,1789,569,464,196,987,812,466.5,161
410,1454,534,351,165,722,666,386.5,162
417,1503,519,351,160,711,609,416,162
464,1504,569,353,162,779,755,413.5,162
426,1506,534,352,173,746,697,404,162
449,1535,528,362,172,753,731,414.5,162
510,1556,553,410,168,777,689,405,162
481,1558,552,373,177,789,669,415.5,162
404,1564,554,338,155,703,598,458,162
454,1575,522,372,177,788,630,424.5,162
536,1590,542,413,165,787,694,423.5,162
559,1591,539,411,177,871,691,413,162
454,1629,538,361,206,743,651,428,162
631,1679,560,448,194,861,697,421.5,162
517,1691,540,394,184,778,673,464.5,162
586,1731,561,418,189,806,674,467.5,162
394,1446,528,349,152,723,621,396.5,163
381,1466,537,372,171,724,645,376,163
298,1484,547,360,174,713,622,388,163
484,1510,538,388,163,788,747,398,163
437,1523,539,355,170,745,631,414,163
449,1530,546,376,161,803,619,416,163
447,1562,554,384,164,768,671,425,163
413,1565,523,359,172,712,615,431,163
566,1599,558,385,190,761,723,417,163
484,1613,548,383,179,773,618,436,163
542,1634,553,380,182,804,672,445,163
498,1656,533,402,186,789,613,441,163
761,1693,603,477,183,934,791,425,163
558,1700,560,410,189,824,702,456,163
773,1758,547,454,185,935,848,467,163
696,1759,572,426,191,888,763,475.5,163
532,1519,572,413,181,839,783,372,164
